Период,ДнНд,Дата создания,vkontakte/cpa,vkontakte/social,instagram/cpa,instagram/social,facebook/cpa,facebook/social,odnoklassniki/cpa,odnoklassniki/social,yandex/cpa,google/cpa,yandex/organic,google/organic,direct,email,2 ГИС,Гугл мой бизнес + Гугл карты,Яндекс справочник + Яндекс карты,Нераспознанный источник,Итого
2020.06,пн,01.06.2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.06,вт,02.06.2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.06,ср,03.06.2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.06,чт,04.06.2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.06,пт,05.06.2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.06,сб,06.06.2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.06,вс,07.06.2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.06,пн,08.06.2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.06,вт,09.06.2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.06,ср,10.06.2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.06,чт,11.06.2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.06,пт,12.06.2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.06,сб,13.06.2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.06,вс,14.06.2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.06,пн,15.06.2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.06,вт,16.06.2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020.06,ср,17.06.2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
